Sample,FFT_#,q#,Vol_wt
CMP,8,5,84867.52828
CMP,8,5,129758.8203
CMP,7,6,49577.31317
CMP,8,9,2374.568053
CMP,10,10,1252.357894
CMP,8,5,70310.36062
CMP,6,7,70496.91748
CMP,7,5,80913.21395
CMP,14,7,296106.872
CMP,12,9,238343.2522
CMP,9,5,92069.26081
CMP,8,5,56972.92241
CMP,8,5,132786.3515
CMP,6,5,52237.68299
CMP,11,6,192441.7471
CMP,9,5,91488.05315
CMP,7,4,112518.8001
CMP,9,7,50069.8761
CMP,10,5,104309.2648
CMP,8,7,80739.59758
CMP,9,4,94132.09081
CMP,8,8,53109.55597
CMP,10,5,277601.2727
CMP,10,8,13468.81105
CMP,9,5,333.9723761
CMP,8,4,152566.5641
CMP,5,5,546.9191902
CMP,9,10,41694.30145
CMP,7,6,87513.66581
CMP,7,4,77942.63243
CMP,8,5,149589.8877
CMP,9,7,120073.4169
CMP,9,7,132615.6586
CMP,9,6,111784.4367
CMP,7,5,123999.2651
CMP,12,8,106237.1565
CMP,8,5,147436.5668
CMP,9,8,93402.24603
CMP,8,5,84470.74708
CMP,9,4,82103.05499
CMP,11,6,74065.63613
CMP,7,6,88466.31397
CMP,10,10,30358.16411
CMP,6,5,68077.71908
CMP,8,3,120478.1358
CMP,8,6,207965.5013
CMP,7,5,104924.3149
CMP,9,6,73391.99931
CMP,7,7,468.2015654
CMP,8,5,88414.11937
CMP,9,5,99580.20564
CMP,7,5,79902.06646
CMP,10,5,90014.19409
CMP,9,5,87083.07525
CMP,7,5,633.9195388
CMP,8,4,73574.2007
CMP,9,10,343965.2972
CMP,9,6,55001.32675
CMP,11,9,270676.9954
CMP,10,6,141039.4043
CMP,10,5,69194.48655
CMP,9,5,152092.8744
CMP,9,7,54359.80017
CMP,9,5,88585.64491
CMP,9,6,93645.31719
CMP,8,8,1023.667893
CMP,5,3,337.461354
CMP,9,10,41705.90102
CMP,7,7,70158.48696
CMP,8,7,100808.1858
CMP,8,6,83116.0982
CMP,9,10,5185.337788
CMP,6,6,379.046744
CMP,8,5,1123.023702
CMP,8,7,46445.39676
CMP,10,7,56721.97435
CMP,8,7,27593.52555
CMP,7,9,1511.256218
CMP,8,5,151236.2286
CMP,9,7,111172.3945
CMP,7,5,94650.19162
CMP,12,5,165869.7785
CMP,8,5,94772.23941
CMP,9,8,43423.58073
CMP,9,5,87164.73387
CMP,9,10,27245.35912
CMP,11,7,62984.80302
CMP,10,5,74656.67001
CMP,7,6,1341.76917
CMP,11,8,37469.46863
CMP,11,6,130445.618
CMP,9,4,103129.9828
CMP,7,3,92295.98621
CMP,11,7,85744.09399
CMP,6,7,300.8764716
CMP,10,4,75101.00355
CMP,6,5,696.7240421
CMP,7,7,107507.7089
CMP,6,6,1499.749835
CMP,9,7,1255.966798
CMP,7,7,97824.79018
CMP,8,4,134643.1172
CMP,10,6,111542.6769
CMP,9,15,1645.673547
CMP,10,5,107969.5074
CMP,11,5,77649.74094
CMP,8,5,1040.579108
CMP,8,6,81304.35374
CMP,8,7,2330.05994
CMP,10,7,43417.6759
CMP,9,5,356.2718342
CMP,8,5,104679.7621
CMP,10,5,112413.7412
CMP,8,4,538.7290892
CMP,7,4,83393.74407
CMP,10,8,140134.4942
CMP,9,6,58362.83084
CMP,12,7,35389.44497
CMP,9,7,98287.74331
CMP,10,7,120825.4624
CMP,10,9,50595.01357
CMP,8,7,83825.46289
CMP,7,7,85183.934
CMP,10,8,408858
CMP,10,4,95329.67443
CMP,7,6,106752.7
CMP,9,7,53682.984
CMP,7,8,463.0138118
CMP,10,8,117884.2048
CMP,9,5,195318.2263
CMP,6,7,117744.71
CMP,11,12,240275.5519
CMP,11,9,202890.5649
CMP,7,6,105580.0555
CMP,9,7,28396.30392
CMP,10,5,55313.42775
CMP,8,7,83371.79102
CMP,8,6,80927.68219
